CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
426,Lesotho,567,Y,"Proportion of land area covered by forest, percentage",1.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.4,,C, , , , , , , , , , , , ,1.4,,C, , , , , , , , , , , , ,1.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
426,Lesotho,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1419.1,,G,1444.8,,G,1474.1,,G,2082.9,,G,2112.2,,G,2258.9,,G,2200.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
426,Lesotho,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.53,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.54,,C, , , , , , , , , , , , , , , 
430,Liberia,567,Y,"Proportion of land area covered by forest, percentage",51.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,48.1,,C, , , , , , , , , , , , ,46.5,,C, , , , , , , , , , , , ,44.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
430,Liberia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",484,,G,286,,G,289.7,,G,322.7,,G,319,,G,333.7,,G,344.7,,G,355.7,,G,388.7,,G,407,,G,436.4,,G,502.4,,G,502.4,,G,531.7,,G,627.1,,G,740.7,,G,759.1,,G,678.4,,G,575.7,,G,528,,G,803.1,,G,891.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
430,Liberia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.46,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.46,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.78,,C, , , , , , , , , , , , , , , 
434,Libyan Arab Jamahiriya,567,Y,"Proportion of land area covered by forest, percentage",0.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.1,,C, , , , , , , , , , , , ,0.1,,C, , , , , , , , , , , , ,0.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
434,Libyan Arab Jamahiriya,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",36780,,G,42863.6,,G,37260.4,,G,38947.2,,G,44132.3,,G,46020.9,,G,44158,,G,44975.8,,G,45474.5,,G,44620.1,,G,47113.6,,G,48100,,G,47832.3,,G,49167.1,,G,50358.9,,G,52108.1,,G,54510,,G,53230.2,,G,55943.8,,G,62317,,G,66057.3,,G,39020.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
434,Libyan Arab Jamahiriya,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.08,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.29,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.32,,C, , , , , , , , , , , , , , , 
438,Liechtenstein,567,Y,"Proportion of land area covered by forest, percentage",40,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.8,,E, , , , , , , , , , , , ,43.8,,E, , , , , , , , , , , , ,43.8,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
438,Liechtenstein,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69.7,,G,69.7,,G,55,,G,58.7,,G,51.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
438,Liechtenstein,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",40.23,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.82,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44.29,,C, , , , , , , , , , , , , , , 
440,Lithuania,567,Y,"Proportion of land area covered by forest, percentage",31,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,32.2,,C, , , , , , , , , , , , ,33.8,,C, , , , , , , , , , , , ,34.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
440,Lithuania,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,22148.7,,G,17495.3,,G,17359.6,,G,16204.5,,G,15731.4,,G,15339.1,,G,16197.1,,G,13692.6,,G,12200.1,,G,12918.8,,G,13212.2,,G,12915.2,,G,13329.5,,G,13993.3,,G,14294,,G,14748.7,,G,14708.3,,G,12416.5,,G,13377.2,,G,13740.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
440,Lithuania,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.82,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.92,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.3,,C, , , , , , , , , , , , , , , 
442,Luxembourg,567,Y,"Proportion of land area covered by forest, percentage",33.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,33.6,,C, , , , , , , , , , , , ,33.6,,C, , , , , , , , , , , , ,33.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
442,Luxembourg,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",10003.6,,G,10616,,G,10572,,G,10788.3,,G,10190.6,,G,8316.8,,G,8437.8,,G,7939.1,,G,7356,,G,7686,,G,8239.7,,G,8800.8,,G,9416.9,,G,9904.6,,G,11268.7,,G,11547.4,,G,11349.4,,G,11023,,G,10938.7,,G,10392.3,,G,10968,,G,10832.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
442,Luxembourg,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",12.06,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.32,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34.61,,C, , , , , , , , , , , , , , , 
450,Madagascar,567,Y,"Proportion of land area covered by forest, percentage",23.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.6,,C, , , , , , , , , , , , ,22.1,,C, , , , , , , , , , , , ,21.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
450,Madagascar,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",986.4,,G,1074.4,,G,1045.1,,G,1070.8,,G,1316.5,,G,1312.8,,G,1411.8,,G,1701.5,,G,1738.2,,G,1925.2,,G,1873.8,,G,1741.8,,G,1235.8,,G,1701.5,,G,1807.8,,G,1741.8,,G,1683.2,,G,1815.2,,G,1987.5,,G,1895.8,,G,2086.5,,G,2449.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
450,Madagascar,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.78,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.98,,C, , , , , , , , , , , , , , , 
454,Malawi,567,Y,"Proportion of land area covered by forest, percentage",41.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,37.9,,C, , , , , , , , , , , , ,36.2,,C, , , , , , , , , , , , ,34.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
454,Malawi,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",612.4,,G,660.1,,G,656.4,,G,693.1,,G,718.7,,G,729.7,,G,711.4,,G,759.1,,G,828.7,,G,997.4,,G,905.7,,G,905.7,,G,883.7,,G,957.1,,G,975.4,,G,916.8,,G,953.4,,G,953.4,,G,1147.8,,G,1056.1,,G,1213.8,,G,1206.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
454,Malawi,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",15.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.81,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.81,,C, , , , , , , , , , , , , , , 
458,Malaysia,567,Y,"Proportion of land area covered by forest, percentage",68.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,65.7,,C, , , , , , , , , , , , ,63.6,,C, , , , , , , , , , , , ,62.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
458,Malaysia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",56592.8,,G,68591.2,,G,75298.2,,G,91722.7,,G,94010.9,,G,121132,,G,125374.7,,G,124821,,G,114186.7,,G,107934.5,,G,126603.2,,G,136716.8,,G,135129,,G,160266.2,,G,167332.5,,G,177372.8,,G,170647.5,,G,188124.4,,G,208237.9,,G,203951.2,,G,224589.1,,G,225692.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
458,Malaysia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",7.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.92,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.04,,C, , , , , , , , , , , , , , , 
462,Maldives,567,Y,"Proportion of land area covered by forest, percentage",3.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.3,,C, , , , , , , , , , , , ,3.3,,C, , , , , , , , , , , , ,3.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
462,Maldives,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",154,,G,172.3,,G,253,,G,216.4,,G,220,,G,275,,G,319,,G,366.7,,G,333.7,,G,465.7,,G,498.7,,G,575.7,,G,689.4,,G,597.7,,G,777.4,,G,700.4,,G,887.4,,G,916.8,,G,1008.4,,G,1067.1,,G,1074.4,,G,1103.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
462,Maldives,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",9.15,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.07,,C, , , , , , , , , , , , , , , 
466,Mali,567,Y,"Proportion of land area covered by forest, percentage",11.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.9,,C, , , , , , , , , , , , ,10.6,,C, , , , , , , , , , , , ,10.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
466,Mali,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",421.7,,G,436.4,,G,443.7,,G,454.7,,G,462,,G,469.4,,G,487.7,,G,524.4,,G,762.7,,G,795.7,,G,821.4,,G,828.7,,G,847.1,,G,843.4,,G,876.4,,G,898.4,,G,942.4,,G,1008.4,,G,1070.8,,G,1147.8,,G,1235.8,,G,1250.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
466,Mali,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.82,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.82,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.38,,C, , , , , , , , , , , , , , , 
470,Malta,567,Y,"Proportion of land area covered by forest, percentage",0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
470,Malta,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2178.2,,G,2075.5,,G,2042.5,,G,2669.6,,G,2438.6,,G,2126.9,,G,2247.9,,G,2522.9,,G,2145.2,,G,2346.9,,G,2064.5,,G,2486.2,,G,2299.2,,G,2581.6,,G,2574.2,,G,2698.9,,G,2574.2,,G,2724.6,,G,2559.6,,G,2390.9,,G,2618.2,,G,2511.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
470,Malta,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.11,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.47,,C, , , , , , , , , , , , , , , 
584,Marshall Islands,567,Y,"Proportion of land area covered by forest, percentage",72.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,72.2,,C, , , , , , , , , , , , ,72.2,,C, , , , , , , , , , , , ,72.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
584,Marshall Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",47.7,,G,51.3,,G,55,,G,62.3,,G,66,,G,66,,G,66,,G,66,,G,69.7,,G,66,,G,77,,G,80.7,,G,84.3,,G,84.3,,G,88,,G,84.3,,G,91.7,,G,99,,G,99,,G,102.7,,G,102.7,,G,102.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
584,Marshall Islands,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.04,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.19,,C, , , , , , , , , , , , , , , 
474,Martinique,567,Y,"Proportion of land area covered by forest, percentage",45.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,45.7,,C, , , , , , , , , , , , ,45.7,,C, , , , , , , , , , , , ,45.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
474,Martinique,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2068.2,,G,1840.8,,G,2046.2,,G,2016.9,,G,2038.9,,G,2038.9,,G,2024.2,,G,2031.5,,G,2071.9,,G,2082.9,,G,2119.5,,G,2112.2,,G,2068.2,,G,2269.9,,G,2394.6,,G,2478.9,,G,2365.2,,G,2148.9,,G,2126.9,,G,2269.9,,G,2266.2,,G,2449.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
474,Martinique,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",11.48,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.51,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.55,,C, , , , , , , , , , , , , , , 
478,Mauritania,567,Y,"Proportion of land area covered by forest, percentage",0.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.3,,C, , , , , , , , , , , , ,0.3,,C, , , , , , , , , , , , ,0.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
478,Mauritania,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2665.9,,G,2750.3,,G,2940.9,,G,2959.3,,G,3120.6,,G,2966.6,,G,2973.9,,G,2959.3,,G,1063.4,,G,1133.1,,G,1173.4,,G,1283.5,,G,1353.1,,G,1389.8,,G,1536.5,,G,1587.8,,G,1609.8,,G,1844.5,,G,1936.2,,G,2130.5,,G,2137.9,,G,2310.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
478,Mauritania,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.07,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.38,,C, , , , , , , , , , , , , , , 
480,Mauritius,567,Y,"Proportion of land area covered by forest, percentage",19.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,19.2,,C, , , , , , , , , , , , ,17.2,,C, , , , , , , , , , , , ,17.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
480,Mauritius,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1463.1,,G,1521.8,,G,1708.8,,G,1774.8,,G,1624.5,,G,1829.8,,G,1950.8,,G,1998.5,,G,2170.9,,G,2427.6,,G,2691.6,,G,2863.9,,G,2885.9,,G,3061.9,,G,3091.3,,G,3296.6,,G,3630.3,,G,3689,,G,3769.7,,G,3696.3,,G,3916.4,,G,3916.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
480,Mauritius,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01,,C, , , , , , , , , , , , , , , 
175,Mayotte,567,Y,"Proportion of land area covered by forest, percentage",48.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,43.2,,C, , , , , , , , , , , , ,40.5,,C, , , , , , , , , , , , ,37.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
175,Mayotte,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
175,Mayotte,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
484,Mexico,567,Y,"Proportion of land area covered by forest, percentage",36.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,34.3,,C, , , , , , , , , , , , ,33.7,,C, , , , , , , , , , , , ,33.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
484,Mexico,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",314291.2,,G,326374,,G,328698.9,,G,330448,,G,348134,,G,328291.8,,G,341482,,G,359047,,G,374063.3,,G,382607.4,,G,382508.4,,G,395636.3,,G,391859.3,,G,405918.6,,G,411767.4,,G,435437.9,,G,445291.1,,G,458866.4,,G,474491.5,,G,450575.3,,G,445063.8,,G,466548.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
484,Mexico,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.62,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.02,,C, , , , , , , , , , , , , , , 
583,"Micronesia, Federated States of",567,Y,"Proportion of land area covered by forest, percentage",91.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,91.4,,C, , , , , , , , , , , , ,91.4,,C, , , , , , , , , , , , ,91.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
583,"Micronesia, Federated States of",749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , ,77,,G,80.7,,G,117.3,,G,135.7,,G,176,,G,146.7,,G,146.7,,G,146.7,,G,121,,G,124.7,,G,143,,G,121,,G,168.7,,G,121,,G,128.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
583,"Micronesia, Federated States of",616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
492,Monaco,567,Y,"Proportion of land area covered by forest, percentage",,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,E, , , , , , , , , , , , ,,,E, , , , , , , , , , , , ,,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
492,Monaco,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
492,Monaco,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.18,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.27,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,99.72,,C, , , , , , , , , , , , , , , 
496,Mongolia,567,Y,"Proportion of land area covered by forest, percentage",8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.5,,C, , , , , , , , , , , , ,7.2,,C, , , , , , , , , , , , ,7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
496,Mongolia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",10043.9,,G,12207.4,,G,11078,,G,9314.2,,G,7961.1,,G,7924.4,,G,8041.7,,G,7711.7,,G,7708,,G,7554,,G,7506.3,,G,7884.1,,G,8287.4,,G,8034.4,,G,8551.4,,G,8646.8,,G,9497.5,,G,10091.6,,G,10029.2,,G,11052.3,,G,11510.7,,G,19079.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
496,Mongolia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",4.14,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.21,,C, , , , , , , , , , , , , , , 
499,Montenegro,567,Y,"Proportion of land area covered by forest, percentage",40.4,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,40.4,,E, , , , , , , , , , , , ,40.4,,E, , , , , , , , , , , , ,40.4,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
499,Montenegro,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2383.6,,G,2251.5,,G,2750.3,,G,1826.2,,G,2581.6,,G,2570.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
499,Montenegro,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.69,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.42,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.69,,C, , , , , , , , , , , , , , , 
500,Montserrat,567,Y,"Proportion of land area covered by forest, percentage",36.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,,C, , , , , , , , , , , , ,20,,C, , , , , , , , , , , , ,20,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
500,Montserrat,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",40.3,,G,36.7,,G,40.3,,G,40.3,,G,47.7,,G,47.7,,G,47.7,,G,51.3,,G,51.3,,G,47.7,,G,55,,G,58.7,,G,66,,G,69.7,,G,69.7,,G,69.7,,G,77,,G,77,,G,77,,G,77,,G,77,,G,80.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
500,Montserrat,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.55,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.46,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.46,,C, , , , , , , , , , , , , , , 
504,Morocco,567,Y,"Proportion of land area covered by forest, percentage",11.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.2,,C, , , , , , , , , , , , ,11.4,,C, , , , , , , , , , , , ,11.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
504,Morocco,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",23542.1,,G,24975.9,,G,26039.4,,G,28217.6,,G,29640.4,,G,30373.8,,G,31195.2,,G,31862.6,,G,32038.6,,G,33153.3,,G,33905.1,,G,37715.1,,G,38254.1,,G,37561.1,,G,43310.9,,G,45771.5,,G,47425.3,,G,50267.2,,G,52900.1,,G,52482.1,,G,55958.4,,G,56537.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
504,Morocco,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.09,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.35,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.14,,C, , , , , , , , , , , , , , , 
508,Mozambique,567,Y,"Proportion of land area covered by forest, percentage",55.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,52.4,,C, , , , , , , , , , , , ,51,,C, , , , , , , , , , , , ,49.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
508,Mozambique,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1001.1,,G,1026.8,,G,1001.1,,G,1078.1,,G,1070.8,,G,1111.1,,G,1041.4,,G,1125.8,,G,1133.1,,G,1188.1,,G,1349.5,,G,1580.5,,G,1587.8,,G,1917.8,,G,1921.5,,G,1822.5,,G,1980.2,,G,2390.9,,G,2339.5,,G,2570.6,,G,2874.9,,G,3282,,G, , , , , , , , , , , , , , , , , , , , , , , , 
508,Mozambique,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",7.91,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.91,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.9,,C, , , , , , , , , , , , , , , 
104,Myanmar,567,Y,"Proportion of land area covered by forest, percentage",59.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,53,,E, , , , , , , , , , , , ,50.7,,E, , , , , , , , , , , , ,48.3,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
104,Myanmar,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",4275.7,,G,4180.4,,G,4888.1,,G,5342.8,,G,6244.9,,G,6960,,G,7257,,G,7499,,G,8078.4,,G,8969.5,,G,10087.9,,G,8723.8,,G,9207.8,,G,9845.9,,G,12434.8,,G,11613.4,,G,12610.8,,G,12636.5,,G,9028.2,,G,10388.6,,G,8987.8,,G,10439.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
104,Myanmar,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.11,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.07,,C, , , , , , , , , , , , , , , 
516,Namibia,567,Y,"Proportion of land area covered by forest, percentage",10.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.8,,C, , , , , , , , , , , , ,9.3,,C, , , , , , , , , , , , ,8.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
516,Namibia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",25.7,,G,1015.8,,G,1122.1,,G,1151.4,,G,1320.1,,G,1631.8,,G,1749.2,,G,1796.8,,G,1906.8,,G,1664.8,,G,1642.8,,G,2016.9,,G,1760.2,,G,1873.8,,G,1961.8,,G,2310.2,,G,2328.5,,G,2409.2,,G,3579,,G,3183,,G,3179.3,,G,2775.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
